Player,Team,SACK,INT,FR,FF,TD,SAFETY,PA,YDS_AGN,FPTS
Pittsburgh Steelers,,3.5,1,0.7,1.2,0.2,0.1,17.2,332.3,8.9
,high,4.2,1.2,1.1,1.6,0.3,0.1,23.7,321,10.6
,low,2.7,0.7,0.4,0.9,0,0,14,353.7,6.9
New England Patriots,,2.6,1.1,0.6,0.9,0.2,0,16.3,294.6,8.1
,high,3.3,1.7,0.8,1.1,0.3,0.1,19.9,271,9.8
,low,1.7,0.8,0.5,0.8,0.1,0,13.7,319,6.1
Atlanta Falcons,,2.3,1.5,0.5,0.7,0.2,0,22.1,348.4,7.5
,high,3.3,4.1,0.8,0.8,0.4,0,23,342.9,15.3
,low,1.8,0.8,0.4,0.7,0.1,0,21.2,354.4,5.9
Washington Football Team,,2.9,1,0.7,1.2,0.2,0,20.4,304.2,7.3
,high,3.8,1.5,0.9,1.5,0.2,0.1,22.9,299,9.2
,low,2,0.8,0.5,0.9,0,0,19.7,308.8,6.4
Green Bay Packers,,2.7,1,0.6,0.8,0.1,0,23.6,368.4,6.7
,high,3.2,1.3,0.7,0.9,0.2,0,27.9,356.3,7.8
,low,2.4,0.8,0.4,0.7,0,0,21.3,385,5.9
Houston Texans,,2.7,0.8,0.6,1,0.1,0,20.9,336.9,6.5
,high,3.4,1.1,1,1.3,0.2,0,23.2,319.5,7.8
,low,1.8,0.6,0.4,0.8,0.1,0,19.3,352.4,6
Indianapolis Colts,,2.8,0.8,0.6,0.8,0.1,0,23.4,342.5,6.5
,high,3.1,1,0.7,0.9,0.2,0.1,24.8,334,7.4
,low,2.6,0.5,0.5,0.8,0,0,22,357.1,6.4
Buffalo Bills,,3,0.7,0.6,0.8,0.1,0.1,26,373.1,6.5
,high,3.7,1,0.7,0.9,0.2,0.1,31,354,7.4
,low,2.6,0.5,0.4,0.8,0,0,20.5,383.2,4.9
New York Giants,,2.4,0.9,0.5,0.9,0.2,0.1,22.2,316.9,6.3
,high,3.4,1.1,0.7,1,0.2,0.1,22.8,276,7.6
,low,0.3,0.8,0.4,0.8,0.1,0,21.1,340.8,5.5
Arizona Cardinals,,2.4,0.9,0.6,1,0.2,0,21.5,317.4,6.3
,high,3.1,1.2,0.7,1.2,0.2,0,23,299,6.9
,low,1.3,0.7,0.4,0.6,0,0,19,340,6.3
New York Jets,,2.2,1.1,0.5,0.8,0.1,0,23.3,342,6.3
,high,3.3,1.9,0.6,0.8,0.2,0,25,337.5,9.1
,low,1.2,0.7,0.4,0.6,0,0,21.3,349,5.8
Kansas City Chiefs,,2.4,0.9,0.5,0.9,0.2,0,20.6,360.1,6.2
,high,3,1.1,0.8,1.1,0.2,0.1,22.7,354,7.7
,low,1.7,0.7,0.3,0.7,0.1,0,17.3,372,5.7
Baltimore Ravens,,2,0.9,0.7,1.1,0.1,0.1,21.5,356.6,6.2
,high,2.5,1.1,1,1.4,0.2,0.2,25,330,7
,low,1.5,0.8,0.4,0.8,0,0,19.2,386.7,5.3
Minnesota Vikings,,2.7,0.8,0.5,0.7,0.1,0,22.4,363.8,6.2
,high,3.3,1,0.6,0.9,0.2,0,24.5,347,7.7
,low,2.1,0.6,0.5,0.6,0,0,19.1,380.6,5.8
Jacksonville Jaguars,,2.8,0.7,0.5,0.6,0.1,0,25.9,374.4,6.2
,high,3.2,0.9,0.6,0.6,0.2,0.1,28.8,360.7,6.9
,low,2.6,0.6,0.3,0.5,0.1,0,22.5,393,5.9
Miami Dolphins,,2.1,1,0.5,0.9,0.2,0,26,400.2,6.2
,high,2.8,1.3,0.7,1,0.2,0,27.4,378.6,7.4
,low,1.3,0.8,0.4,0.7,0.1,0,23.5,426,4.4
Chicago Bears,,2.6,0.7,0.6,0.8,0.1,0,24.4,373.1,6.1
,high,5.1,0.9,0.8,1.2,0.2,0.1,27,339,9.8
,low,1.2,0.7,0.4,0.7,0,0,20,412.8,4
Seattle Seahawks,,2.2,0.9,0.7,1.1,0.1,0,24.8,378.7,6.1
,high,2.8,1,1,1.4,0.2,0.1,27.3,367.9,6.7
,low,1.5,0.7,0.5,0.9,0,0,21.2,386.1,5.3
Denver Broncos,,2.5,0.7,0.6,0.8,0.1,0,25.5,386.6,5.9
,high,3.3,1,0.7,1,0.2,0,27.7,369,7
,low,2,0.6,0.5,0.7,0.1,0,21.6,401.5,4.8
Tennessee Titans,,2.1,1,0.5,0.6,0.1,0,20.4,331.3,5.8
,high,3.1,1.4,0.6,0.8,0.2,0,22.5,315,7.2
,low,1.1,0.7,0.3,0.5,0,0,18.4,345,6.2
Detroit Lions,,2.3,0.8,0.5,0.8,0.1,0,26.2,353.2,5.8
,high,2.9,1,0.6,0.9,0.2,0,29,342.7,6.4
,low,1.4,0.6,0.4,0.7,0,0,22.2,360,5.1
Las Vegas Raiders,,2.1,0.8,0.6,0.9,0.1,0,26.2,396.7,5.7
,high,2.5,1,0.7,1,0.2,0,29.6,385.8,6.7
,low,1.3,0.7,0.4,0.7,0,0,20.9,414,5.1
San Francisco 49ers,,2.5,0.5,0.6,0.8,0.1,0,23.2,362.7,5.5
,high,4.4,0.8,0.7,0.9,0.2,0,27.3,335,8.3
,low,1.2,0.4,0.4,0.7,0,0,20.3,387.7,3.6
Tampa Bay Buccaneers,,2,0.7,0.5,0.9,0.1,0,23.9,363,5.5
,high,2.9,0.9,0.7,1,0.2,0,29,330,6.5
,low,1.3,0.5,0.3,0.8,0.1,0,19.6,387.4,4.5
New Orleans Saints,,2,0.7,0.6,0.8,0.1,0,26.8,358.2,5.4
,high,3.1,1,0.8,1.1,0.2,0.1,32.2,355,6.6
,low,1.1,0.5,0.4,0.7,0,0,21.5,363.5,3.3
Los Angeles Chargers,,2.2,0.6,0.6,0.7,0.1,0,23.2,371.2,5.4
,high,2.8,0.7,0.8,1.1,0.2,0,25.8,354.9,6.2
,low,1.7,0.4,0.3,0.4,0,0,18.7,383.6,5.2
Dallas Cowboys,,1.9,0.7,0.6,0.9,0.1,0,26.4,368.2,5.3
,high,3.2,0.8,0.8,1.2,0.2,0.1,30.5,348,6.1
,low,1.4,0.5,0.5,0.7,0,0,20.4,390.1,4.2
Carolina Panthers,,1.8,0.6,0.6,0.8,0.1,0,30,397.9,4.7
,high,2.6,0.7,0.8,1.2,0.2,0,35.1,387,5.8
,low,1.3,0.3,0.4,0.6,0,0,24.4,415.7,2.7
