Player,Team,REC,YDS,TDS,FL,FPTS
Â ,,,,,,
Travis Kelce,KC,6,74,0.6,0,17.2
,high,6.5,84,1,0,19.7
,low,5.2,61,0.5,0.1,15.1
Darren Waller,LV,6.5,70.3,0.5,0.1,16.3
,high,7.6,84.3,1,0,19.7
,low,5.4,59.5,0.3,0.1,14.6
T.J. Hockenson,DET,4.6,53,0.5,0,13
,high,5.4,63,1,0,16.1
,low,3.7,42,0.3,0.1,12.1
Mark Andrews,BAL,3.9,50.1,0.5,0,12
,high,5,58,1,0,15.7
,low,3.2,39.6,0.4,0,10.4
Noah Fant,DEN,4.2,49.8,0.5,0,11.9
,high,4.5,56.9,1,0,14.8
,low,3.9,45.3,0.3,0.1,10.6
Jared Cook,NO,3.8,49.8,0.5,0,11.6
,high,5,62.6,1,0,15.3
,low,3.1,41.7,0.2,0,9.8
Rob Gronkowski,TB,3.7,50.3,0.4,0,11.4
,high,5,71,1,0,15
,low,3.2,38.9,0.2,0,10.2
Hunter Henry,LAC,4.3,51.8,0.3,0,11.4
,high,6,76,0.5,0,15.1
,low,3,39,0,0.1,8.2
Robert Tonyan,GB,3.8,46.8,0.5,0,11.4
,high,6,65,1,0,16.3
,low,2.8,32.9,0.1,0,9.2
Jordan Reed,SF,4.5,47.6,0.2,0,10.6
,high,7.3,80.5,0.5,0,15.7
,low,1.9,18.5,0,0.1,8.1
Hayden Hurst,ATL,4,45.1,0.3,0,10.2
,high,4.8,51.7,0.5,0,11.5
,low,3.6,40,0,0,8.3
Evan Engram,NYG,4.3,46.1,0.2,0,9.9
,high,5.3,59.2,0.3,0,11
,low,4,39,0,0,9.2
Jonnu Smith,TEN,3.7,43.1,0.3,0,9.9
,high,4.9,56.8,0.6,0,12.5
,low,2.7,32.2,0,0,8.1
Eric Ebron,PIT,3.9,43.8,0.3,0,9.8
,high,5.1,57.4,0.5,0,11.4
,low,2.8,34.2,0,0.1,8.3
Jimmy Graham,CHI,3.7,39.1,0.2,0,8.9
,high,4.5,51.9,0.4,0,9.8
,low,3,31.1,0,0,7.6
Mike Gesicki,MIA,3.6,42.1,0.2,0,8.8
,high,4.7,53.7,0.3,0,10.6
,low,2.7,33,0,0.1,8
Trey Burton,IND,3.4,34,0.3,0,8.5
,high,4.8,45.8,1,0,13.9
,low,2.4,25,0,0,7.3
Logan Thomas,WAS,3.6,35.4,0.2,0,8.3
,high,5.6,51.8,0.5,0,9.8
,low,2.8,25.2,0,0,7.1
Dalton Schultz,DAL,3.3,35.1,0.1,0,7.4
,high,4,42.4,0.2,0,8
,low,2.9,29.5,0,0.1,6.6
Greg Olsen,SEA,2.7,28.9,0.2,0,6.5
,high,3,33.8,0.4,0,7.5
,low,2.3,24.1,0,0,6
Albert Okwuegbunam,DEN,2.6,29.2,0.2,0,6.4
,high,3,37.4,0.3,0,7.9
,low,1.6,18.5,0,0.1,5.3
Jordan Akins,HOU,2.7,28.9,0.1,0,6.4
,high,3.2,33.8,0.3,0,7.2
,low,2.2,23,0,0,5.6
Anthony Firkser,TEN,2.3,26.8,0.2,0,6
,high,2.6,33.9,0.3,0,6.9
,low,1.9,22.1,0,0,5.4
Irv Smith Jr.,MIN,2.4,25.4,0.1,0,5.6
,high,3.9,39.2,0.2,0,6.8
,low,1.5,12,0,0,4.1
Tyler Eifert,JAC,2.2,25.1,0.1,0,5.6
,high,2.6,31.7,0.2,0,6.6
,low,1.4,15.4,0,0,4.4
Jack Doyle,IND,2.3,23.9,0.1,0,5.5
,high,3.2,34.7,0.3,0,7.4
,low,1.4,13,0,0.1,4.1
Darren Fells,HOU,1.9,22.2,0.2,0,5.3
,high,2.9,31.4,0.4,0,7
,low,1.3,13.6,0,0,4.3
Kyle Rudolph,MIN,2,20.6,0.2,0,5
,high,2.5,24.6,0.3,0,5.4
,low,1.7,17,0,0,3.9
Chris Herndon IV,NYJ,2.2,23.1,0.1,0.1,5
,high,4.4,41,0.2,0,7.4
,low,1,15,0,0.2,3.7
Mo Alie-Cox,IND,1.7,24.4,0.1,0,4.9
,high,2.1,30.3,0.2,0,5.8
,low,1,13.1,0,0,3.6
Ross Dwelley,SF,2.1,20.2,0.1,0,4.5
,high,4.8,36.7,0.2,0,6.1
,low,0.4,3,0,0,2.7
Dawson Knox,BUF,1.7,21.6,0.1,0,4.3
,high,1.9,23.9,0.2,0,5.2
,low,1.2,18.6,0,0.1,3.6
Ian Thomas,CAR,1.9,18,0.1,0,4.3
,high,3.2,28.5,0.2,0,4.8
,low,1,15,0,0,3.4
Dan Arnold,ARI,1.6,21.2,0.1,0,4.3
,high,2,32.2,0.2,0,5.4
,low,0.9,12.9,0,0,3.5
Jake Butt,DEN,1.7,19.3,0.1,0,3.9
,high,3,35,0.1,0,5.4
,low,0.3,3.5,0,0,5.4
James O'Shaughnessy,JAC,1.7,16.9,0.1,0,3.8
,high,2.8,26.9,0.1,0,4.1
,low,1.2,11.5,0,0,3.3
Will Dissly,SEA,1.4,16.6,0.1,0,3.8
,high,2.3,28.5,0.2,0,4.4
,low,1,9.9,0,0,2.8
Nick Vannett,DEN,1.7,16.2,0.1,0,3.8
,high,3.1,29,0.2,0,5.9
,low,0.7,6.2,0,0,2.4
Adam Trautman,NO,1.5,16.8,0.1,0,3.7
,high,2.3,29,0.2,0,5.3
,low,0.8,7.6,0,0,2.8
Foster Moreau,LV,1.3,13.7,0.2,0,3.7
,high,2.1,19.6,0.3,0,4
,low,0.9,10,0,0,3.7
Ryan Izzo,NE,1.4,16.6,0.1,0,3.7
,high,1.8,19.3,0.2,0,4
,low,0.8,11,0.1,0.1,3.2
Kaden Smith,NYG,1.7,14.2,0.1,0,3.6
,high,2.4,19.4,0.1,0,4.1
,low,1.1,9.8,0,0,3.3
Andrew Beck,DEN,1.4,16,0.1,0,3.6
,high,1.4,16,0.1,0,3.8
,low,1.4,16,0.1,0,3.8
Josh Hill,NO,1.6,15.6,0.1,0,3.6
,high,2.4,26,0.1,0,4.9
,low,0.8,7.4,0,0,2.7
Jace Sternberger,GB,1.5,15.7,0.1,0,3.6
,high,2.2,27,0.2,0,4.8
,low,1,10,0,0,2.5
Nick Boyle,BAL,1.5,13.9,0.1,0,3.4
,high,2.4,20.8,0.2,0,4
,low,0.9,7.7,0,0,2.9
Tyler Kroft,BUF,1.4,15,0.1,0,3.4
,high,2.7,26.4,0.2,0,4.2
,low,0.7,7,0,0,2.6
Marcedes Lewis,GB,1.4,14,0.1,0,3.4
,high,1.5,14.9,0.2,0,4.1
,low,1.2,13.1,0,0,4.1
Cameron Brate,TB,1.3,13.4,0.1,0,3.3
,high,1.9,20.1,0.2,0,4
,low,0.9,7.6,0,0,2.7
Adam Shaheen,MIA,1.2,12,0.1,0,3.1
,high,1.6,15.6,0.4,0,5.2
,low,0.9,9.9,0,0.1,2.4
Jesse James,DET,1.3,14.4,0.1,0,3.1
,high,1.9,23.4,0.1,0,4.2
,low,0.6,7.7,0,0,2.5
Cole Kmet,CHI,1.2,13,0.1,0,3
,high,1.8,19,0.2,0,4.3
,low,0.7,7,0,0,2.1
Vance McDonald,PIT,1.3,13.1,0.1,0,3
,high,1.9,19.6,0.1,0,3.7
,low,0.7,7.1,0,0,2.4
Jason Witten,LV,1.3,11.3,0.1,0,2.9
,high,2.2,19.2,0.1,0,3.4
,low,0.8,6,0,0,2.5
Durham Smythe,MIA,1.2,11.8,0.1,0,2.8
,high,2,18.4,0.1,0,3.2
,low,0.6,5.7,0,0,2.3
MyCole Pruitt,TEN,1.1,10.4,0.1,0,2.7
,high,1.2,12.6,0.2,0,3.1
,low,0.9,8,0,0,2.4
Jacob Hollister,SEA,1.2,10.2,0.1,0,2.6
,high,2.2,18.8,0.2,0,3.2
,low,0.7,6,0,0,1.8
Maxx Williams,ARI,0.9,10.4,0.1,0,2.5
,high,0.9,10.4,0.1,0,2.5
,low,0.9,10.4,0.1,0,2.5
Gabe Nabers,LAC,1.2,13.4,0,0,2.5
,high,1.2,13.4,0,0,0
,low,1.2,13.4,0,0,0
Donald Parham Jr.,LAC,1,10.9,0.1,0,2.4
,high,2,17.5,0.1,0,2.9
,low,0.3,3,0,0,1.5
Demetrius Harris,CHI,1,9.7,0.1,0,2.3
,high,1.4,14.1,0.1,0,2.7
,low,0.9,6.9,0,0,2.1
Ryan Griffin,NYJ,1.1,10.3,0,0,2.3
,high,1.9,18.5,0.1,0,2.7
,low,0.5,4,0,0,1.5
Nick Keizer,KC,0.9,10,0.1,0,2.2
,high,1.4,15.5,0.1,0,2.2
,low,0.6,7,0,0,1.9
Ricky Seals-Jones,KC,0.7,9.3,0.1,0,2.2
,high,0.7,9.3,0.1,0,2.2
,low,0.7,9.3,0.1,0,2.2
Darrell Daniels,ARI,0.9,10.4,0,0,2.2
,high,1.7,18.3,0.1,0,2.6
,low,0.4,4,0,0,1.4
Blake Bell,DAL,1,11.2,0,0,2.2
,high,1.2,13.3,0,0,2.3
,low,0.8,9.2,0,0,2
Kahale Warring,HOU,0.7,8.5,0.1,0,2.2
,high,0.7,8.5,0.1,0,2.2
,low,0.7,8.5,0.1,0,2.2
Chris Manhertz,CAR,1,11.1,0,0,2.1
,high,1.4,16.6,0,0,2.3
,low,0.7,6.6,0,0,1.7
Zach Gentry,PIT,0.8,6.7,0.1,0,2.1
,high,0.8,6.7,0.1,0,2.1
,low,0.8,6.7,0.1,0,2.1
Hunter Bryant,DET,0.7,7.5,0.1,0,2.1
,high,0.7,7.5,0.1,0,2.1
,low,0.7,7.5,0.1,0,2.1
Colby Parkinson,SEA,0.7,7.3,0.1,0,2
,high,0.7,7.3,0.1,0,2
,low,0.7,7.3,0.1,0,2
Isaac Nauta,DET,1,10.6,0,0,2
,high,1,10.6,0,0,0
,low,1,10.6,0,0,0
Ben Ellefson,JAC,1,10.6,0,0,2
,high,1,10.6,0,0,0
,low,1,10.6,0,0,0
Luke Stocker,ATL,1,8.3,0,0,2
,high,1.6,12.8,0.1,0,2.2
,low,0.6,6,0,0,1.8
Antony Auclair,TB,0.7,6.6,0.1,0,2
,high,0.7,6.6,0.1,0,2
,low,0.7,6.6,0.1,0,2
Farrod Green,IND,0.7,6.5,0.1,0,2
,high,0.7,6.5,0.1,0,2
,low,0.7,6.5,0.1,0,2
Noah Togiai,IND,0.7,6.5,0.1,0,2
,high,0.7,6.5,0.1,0,2
,low,0.7,6.5,0.1,0,2
Daniel Helm,SF,0.6,7.2,0.1,0,1.9
,high,0.6,7.2,0.1,0,1.9
,low,0.6,7.2,0.1,0,1.9
Stephen Anderson,LAC,0.7,8.5,0,0,1.8
,high,1.3,14.1,0.1,0,2.6
,low,0.2,3,0,0,1.1
Temarrick Hemingway,WAS,0.9,9.5,0,0,1.8
,high,1.2,12.7,0,0,1.5
,low,0.6,6.4,0,0,1.5
Lee Smith,BUF,0.8,6.3,0.1,0,1.8
,high,1.7,12.1,0.2,0,2.6
,low,0.1,1,0,0,0.9
Taysom Hill,NO,0.7,7.5,0.1,0,1.8
,high,0.8,8.5,0.1,0,3.4
,low,0.6,6.5,0.1,0,3
Charlie Woerner,SF,0.7,7.6,0,0,1.6
,high,1.3,14.7,0.1,0,2
,low,0.1,1,0,0,0.8
Jeremy Sprinkle,WAS,0.7,6.5,0,0,1.6
,high,1.4,12.7,0.1,0,1.9
,low,0.1,1,0,0,0.9
John Lovett,GB,0.7,8,0,0,1.5
,high,0.7,8,0,0,1.8
,low,0.7,8,0,0,1.8
Jordan Thomas,ARI,0.5,4.5,0.1,0,1.5
,high,0.8,7.9,0.2,0,2.4
,low,0.1,1,0,0,0.6
Tanner Hudson,TB,0.7,7.8,0,0,1.5
,high,1.2,13.7,0,0,1.1
,low,0.2,2,0,0,1.1
Pharaoh Brown,HOU,0.6,6.7,0,0,1.5
,high,1.1,12.3,0.1,0,2
,low,0,0,0,0,0.6
Eric Saubert,JAC,0.7,7.2,0,0,1.4
,high,0.7,7.2,0,0,1.4
,low,0.7,7.2,0,0,1.4
Jaeden Graham,ATL,0.5,6.6,0,0,1.4
,high,0.8,10.4,0.1,0,2.2
,low,0.2,3,0,0,0.9
Tyler Conklin,MIN,0.7,7.3,0,0,1.4
,high,1.2,12.8,0,0,1.4
,low,0.2,2,0,0,0.9
Trevon Wesco,NYJ,0.7,6.9,0,0,1.4
,high,1.2,12.8,0,0,1.2
,low,0.4,4,0,0,1.1
Levine Toilolo,NYG,0.6,7,0,0,1.3
,high,0.7,9.1,0,0,1.3
,low,0.3,4,0,0,0.9
Geoff Swaim,TEN,0.6,4.9,0,0,1.1
,high,0.6,4.9,0,0,1.1
,low,0.6,4.9,0,0,1.1
Eric Tomlinson,NYG,0.6,4.7,0,0,1.1
,high,0.6,4.7,0,0,1.1
,low,0.6,4.7,0,0,1.1
Deon Yelder,KC,0.5,5.3,0,0,1
,high,1,11.2,0,0,0.8
,low,0.2,2,0,0,0.8
Derek Carrier,LV,0.4,3.4,0,0,0.9
,high,0.7,6.2,0.1,0,1.6
,low,0.2,2,0,0,0.7
Jakob Johnson,NE,0.2,0.8,0.1,0,0.9
,high,0.2,0.8,0.1,0,0.9
,low,0.2,0.8,0.1,0,0.9
Colin Thompson,CAR,0.4,3.8,0,0,0.7
,high,0.4,4.7,0,0,0.8
,low,0.3,3,0,0,0.8
J.P. Holtz,CHI,0.3,3.7,0,0,0.7
,high,0.5,5,0,0,0.8
,low,0.1,2,0,0,0.5
Luke Willson,SEA,0.3,2.9,0,0,0.6
,high,0.5,4.7,0,0,0.4
,low,0.1,1,0,0,0.4
Patrick Scales,CHI,0.2,2,0,0,0.4
,high,0.2,2,0,0,0.4
,low,0.2,2,0,0,0.4
Marcus Baugh,WAS,0.1,2,0,0,0.3
,high,0.1,2,0,0,0.3
,low,0.1,2,0,0,0.3
Sean McKeon,DAL,0.1,1.5,0,0,0.3
,high,0.2,2,0,0,0.3
,low,0.1,1,0,0,0.3
Reggie Gilliam,BUF,0.1,1,0,0,0.2
,high,0.1,1,0,0,0.3
,low,0.1,1,0,0,0.3
Daniel Brown,NYJ,0,0,0,0,0
,high,0,0,0,0,0
,low,0,0,0,0,0
Garrett Griffin,NO,0,0,0,0,0
,high,0,0,0,0,0
,low,0,0,0,0,0
